,Year,Number of Transits in the Suez Canal,Pirate attacks,aden_per_attack,Number of Transits in the Malacca Strait,Pirate attacks,Southeast_asia_per_attack,Number of vessels in the port of Lagos,Pirate attacks,Guinea_per_attack
,2000,"14,142",23,614.87,"55,957",255,219.439,4087,19,215.105
,2001,"13,986",20,699.3,"59,314",160,370.712,4473,40,111.825
,2002,"13,447",22,611.227,"60,034",163,368.307,4143,30,138.1
,2003,"15,667",20,783.35,"62,334",183,340.623,4315,48,89.896
,2004,"16,850",11,1531.818,"63,636",154,413.221,4553,39,116.744
,2005,"18,224",44,414.182,"62,621",120,521.842,4586,25,183.44
,2006,"18,664",19,982.316,"65,649",85,772.341,4800,16,300
,2007,"20,384",43,474.047,"70,718",77,918.416,4644,41,113.268
,2008,"21,415",105,203.952,"76,381",66,1157.288,4477,53,84.472
,2009,"17,228",159,108.352,"71,359",66,1081.197,4620,39,118.462
,2010,"17,993",97,185.495,"74,133",113,656.044,4962,28,177.214
,2011,"17,799",106,167.915,"73,538",99,742.808,5232,39,134.154
,2012,"17,224",39,441.641,"75,477",109,692.45,5085,48,105.938
,2013,"16,596",13,1276.615,"77,973",141,553,5190,41,126.585
,2014,"17,148",10,1714.8,"79,344",147,539.755,4920,28,175.714
,2015,"17,483",1,17483,"80,960",176,460,4525,20,226.25
,2016,"16,833",3,5611,"83,740",76,1101.842,4254,41,103.756
,2017,"17,550",14,1253.571,"84,456",77,1096.831,3897,39,99.923
,2018,"18,174",3,6058,"85,202",65,1310.8,3878,71,54.62
,2019,"18,880",1,18880,"83,724",54,1550.444,3259,49,66.51
,2020,"18,830",1,18830,"81,380",64,1271.562,4054,55,73.709
